"t","x","y","exp"
0.0,14.0,15.0,"exp4"
0.0022096185935912317,9.296019317929181,20.39169056886135,"exp4"
0.003067139771794417,7.669019500017254,22.181085228217142,"exp4"
0.004377809646035927,5.549051467083734,24.420957793225828,"exp4"
0.005474287105631965,4.142193525818671,25.815075542935578,"exp4"
0.006746943012134387,2.8985367634385026,26.933883329085983,"exp4"
0.008035513777411603,1.9938829018163493,27.617589759810688,"exp4"
0.009426405483904303,1.3210366772051283,27.975229464160044,"exp4"
0.010681015688881433,0.9086315351580831,28.056924494172204,"exp4"
0.011965232955085978,0.6195095499198588,27.978123689052175,"exp4"
0.013203251297114207,0.429023801858483,27.7964200858367,"exp4"
0.014445399500076261,0.29763381873716044,27.544450955891747,"exp4"
0.015672723350210218,0.20815478199871773,27.250276476010168,"exp4"
0.016901880394708836,0.14610919055697494,26.926568394567653,"exp4"
0.018129749825769263,0.10305842389662342,26.584986528151752,"exp4"
0.019362950622546594,0.07292587546769723,26.231059928431332,"exp4"
0.02060235903051209,0.051765769096724965,25.869522839317142,"exp4"
0.021851437116188734,0.03683118702884314,25.502810425588905,"exp4"
0.02311195543747954,0.026257485830214502,25.13281027406828,"exp4"
0.02438639719299418,0.018746791263347613,24.76050839830787,"exp4"
0.025676833126766697,0.013398757784316897,24.38654918348309,"exp4"
0.026985688661878733,0.009582144663801114,24.011167532137026,"exp4"
0.02831553626611936,0.006853540068762609,23.634358804937847,"exp4"
0.02966944791889485,0.004899775031280835,23.25585681158099,"exp4"
0.03105110290079886,0.0034991023286762585,22.875164971857153,"exp4"
0.03246509082183032,0.0024940046293824014,22.491523262801906,"exp4"
0.03391718147826828,0.0017723557107548942,22.103882260456544,"exp4"
0.03541468409955988,0.001254176564752173,21.710855270598344,"exp4"
0.03696682217421914,0.0008823263004547792,21.310673297932603,"exp4"
0.0385851522127222,0.0006159124556842997,20.901139116528533,"exp4"
0.04028400682812446,0.00042561523022984047,20.479589730795773,"exp4"
0.042080994257689526,0.00029035780089234256,20.042863846260133,"exp4"
0.043997601786827954,0.00019493387124618468,19.587269552520638,"exp4"
0.046059997767764344,0.00012831964170259552,19.10854002282565,"exp4"
0.048300160793126386,8.247809149844695e-5,18.601764026535847,"exp4"
0.050757513942377035,5.1516925037151336e-5,18.061277401546217,"exp4"
0.05348131066306037,3.10986938570703e-5,17.480502993799934,"exp4"
0.05653414293838215,1.8028187504478785e-5,16.851726374291932,"exp4"
0.059997161461889575,9.962187247504317e-6,16.165793468231442,"exp4"
0.06397799224014071,5.201982511957059e-6,15.411714551348501,"exp4"
0.0686230556029058,2.540804795333545e-6,14.576160799025638,"exp4"
0.0741373623244008,1.1472856193679046e-6,13.642853438129181,"exp4"
0.08081756828415437,4.7280551738397957e-7,12.591896217356545,"exp4"
0.08910955955095572,1.756341527194562e-7,11.399274056942733,"exp4"
0.09971049983811253,5.837347962122171e-8,10.037606739770753,"exp4"
0.11366404766133612,1.7557987062701875e-8,8.490071368648202,"exp4"
0.13094977342125838,5.249152688808907e-9,6.899662552530873,"exp4"
0.14997748862535312,1.798550870532096e-9,5.491196549048828,"exp4"
0.1710668774784957,7.271160434777539e-10,4.263473504556296,"exp4"
0.19363172768679696,3.610047045917722e-10,3.2521659306993653,"exp4"
0.21761590997028488,2.1765533654440713e-10,2.4388630352775698,"exp4"
0.24269275664033374,1.564043200371425e-10,1.8051365655138383,"exp4"
0.2687243948448511,1.3014611301695189e-10,1.3208675796144171,"exp4"
0.29551050357282227,1.2195021418342478e-10,0.9578087909736464,"exp4"
0.3229262822624087,1.2541123423730567e-10,0.6893169035294975,"exp4"
0.35084392080892207,1.385027863751177e-10,0.4931118329340448,"exp4"
0.3791713187474464,1.6140259457236462e-10,0.35102501163525723,"exp4"
0.40782657560742275,1.957481290491551e-10,0.248899154972067,"exp4"
